"college_pref","average_grade","bad_internet","more_anxiety","quality_learning","quality_teaching","recording_freq","separate_room","study_less","study_more","wellbeing","zoom_anxiety","attendance_freq","hs_ag","hs_country","hs_pref","id","third_year","got_anxiety","lost_anxiety","still_anxiety","no_anxiety","partial_lockdown"
"1","2","0","0","-2","-1","4","1","1","0","-3","0","1",NA,"France","0",155,"1",0,1,0,0,"1"
"0","2","0","0","-1","0","4","1","0","0","0","0","4","2","Switzerland","1",157,"1",0,0,0,1,"1"
"1","1","0","0","-1","-1","2","1","0","1","0","1","3","2","Switzerland","0",159,"0",0,1,0,0,"1"
"1",NA,"0","1","3","3","3","0","0","1","1","0","2","2","Switzerland","0",160,"1",0,0,1,0,"1"
"0","1","0","1","2","2","3","0","0","0","0","0","4","2","Switzerland","0",161,"0",0,0,1,0,"1"
"1","2","0","0","2","0","1","0","1","0","3","1","4","2","France","0",163,"1",0,1,0,0,"1"
"1","2","0","0","-4","-3","4","1","1","0","-1","0","4","2","Switzerland","0",164,"1",0,1,0,0,"1"
"1","4","1","0","4","2","4","1","0","1","3","0","2","3","France","0",165,"1",0,1,0,0,"1"
"1","3","0","0","5","4","4","1","0","0","5","0","3","3","Switzerland","0",167,"0",0,1,0,0,"1"
"0","2","0","0","2","2","3","1","0","1","2","0","3","4","France","1",168,"1",0,0,0,1,"1"
"1","2","0","0","-2","-1","1","1","1","0","-1","0","3","2","Switzerland","0",169,"1",0,0,0,1,"1"
"1","1","0","0","4","4","2","1","0","0","5","0","4","2","France","0",172,"0",0,0,0,1,"1"
"1","1","1","1","2","1","4","0","1","0","2","0","3","3","France","0",173,"0",0,0,1,0,"1"
"1","2","0","0","3","3","2","1","0","1","3","0","2",NA,"Other","0",174,"0",0,0,0,1,"1"
"1","2","0","1","-3","-3","4","1","0","1","2","0","1","2","Switzerland","0",175,"1",0,0,1,0,"1"
"0","1","0","0","0","0","1","0","0","0","0","0","2","1","Switzerland","0",176,"0",0,0,0,1,"1"
"1","3","0","0","3","2","4","0","0","0","0","0","1","2","Switzerland","0",177,"0",0,0,0,1,"1"
"0","0","0","1","2","-1","4","1","0","1","-3","0","4","2","Switzerland","1",179,"0",1,0,0,0,"1"
"1","1","0","0","0","-1","4","1","0","0","-1","0","3","2","Switzerland","0",181,"0",0,1,0,0,"1"
"1","2","0","1","0","-1","1","0","1","0","4","0","2",NA,"Switzerland","0",182,"0",1,0,0,0,"1"
"1","3","0","0","2","2","4","1","0","0","2","0","4","2","France","0",183,"1",0,0,0,1,"1"
"1","0","0","0","-1","0","3","0","0","1","-2","0","4",NA,"Other","0",186,"1",0,0,0,1,"1"
"1","2","0","0","0","0","1","1","0","0","5","0","4","2","France","0",188,"0",0,1,0,0,"1"
"0","1","1","1","0","0","2","0","0","1","-4","0","4","3","Switzerland","0",190,"0",0,0,1,0,"1"
"1","3","0","0","-2","-2","3","0","0","1","-1","0","2","2","Switzerland","0",191,"1",0,1,0,0,"1"
"0","1","0","1","-1","-2","2","1","1","0","-3","1","3","2","Switzerland","1",192,"0",0,0,1,0,"1"
"0","2","1","0","0","-2","1","0","1","0","0","0","1","2","Switzerland","0",193,"1",0,1,0,0,"1"
"0","2","0","0","1","1","4","1","0","0","2","0","3","2","Switzerland","0",197,"1",0,1,0,0,"1"
